word,freq
leadership,674
sound,673
shot,672
camp,671
duty,670
chairman,668
governor,667
scholar,667
supply,665
technique,663
executive,663
dance,662
literature,661
basis,658
agent,658
factor,655
situation,653
incident,653
contribution,653
animal,652
firm,652
growth,651
piano,650
composition,649
portion,649
campus,649
ability,645
weapon,643
instrument,641
object,641
eye,640
concert,640
equipment,639
fan,636
al,636
document,636
http,634
constituency,634
squad,634
software,633
representative,633
approach,631
resource,630
quality,630
metal,628
disambiguation,627
foundation,626
honor,625
nomination,624
statement,624
forest,624
descent,622
coast,622
assistant,621
format,621
claim,621
bill,620
citizen,617
architect,616
heart,615
risk,615
turn,614
environment,614
content,613
sequence,611
tower,609
generation,608
loan,608
journal,607
difference,607
housing,607
elevator,604
bird,604
audience,603
adult,602
mm,602
agency,600
i,600
opportunity,599
translation,599
density,596
creation,595
knowledge,594
fall,592
detail,591
reading,591
connection,589
highway,588
conflict,587
transport,586
rating,586
commander,584
left,584
price,582
blood,582
acid,582
top,580
prison,579
promotion,579
lack,578
rugby,578
philosophy,577
employee,575
venue,570
entry,569
statistic,569
presence,568
activist,568
investigation,566
sign,565
kind,564
cause,564
call,563
boat,563
average,562
pair,561
traffic,559
protest,556
concern,556
defense,555
damage,555
identity,554
picture,554
library,553
window,552
victim,552
impact,551
silver,550
doctor,550
lake,550
chain,549
programme,549
grade,549
measure,549
bar,548
future,547
opera,546
opposition,545
pilot,544
cricket,543
face,540
flower,539
second,539
poem,538
reaction,538
mass,536
public,536
van,535
reception,534
priest,534
farm,534
locality,532
der,529
temperature,529
defeat,529
increase,526
writing,526
session,526
tennis,524
organisation,523
aspect,523
inhabitant,523
segment,523
captain,522
credit,519
retirement,519
challenge,518
metre,518
fund,518
morning,516
speech,515
spot,511
broadcast,511
component,511
press,510
sportspeople,510
fiction,509
mph,508
door,507
religion,507
zone,507
exception,507
ceremony,507
description,506
box,506
safety,505
sector,504
map,504
towards,503
winter,503
communication,503
brand,503
theatre,500
lot,500
historian,499
wing,499
reserve,498
mine,498
move,498
failure,498
bus,495
leg,494
pattern,492
quarter,487
phase,487
recipient,486
scheme,486
option,485
bronze,484
ball,484
designer,484
shop,483
enemy,482
headquarters,482
fight,480
hall,480
solution,479
economy,478
combination,477
athlete,475
tribe,475
sex,474
medicine,473
draw,472
wind,471
opponent,471
neighborhood,470
help,470
edge,470
memory,469
reality,469
proposal,467
principle,466
b,465
soccer,465
gene,465
port,465
benefit,464
introduction,464
professional,463
exchange,462
manuscript,462
step,462
someone,461
storm,460
publisher,460
something,457
forward,456
affair,455
chance,454
chief,454
plot,453
climate,453
transfer,451
lyric,450
skill,450
gender,448
participant,446
funding,446
g,446
independence,445
reform,445
corner,445
occasion,444
fruit,442
extension,442
factory,441
representation,441
castle,440
flag,439
restaurant,439
commune,439
solo,438
listing,437
arrangement,436
mean,436
responsibility,436
jazz,436
visitor,434
commission,434
focus,434
entrance,434
fashion,433
signal,432
researcher,431
contact,431
missile,430
profile,430
guest,429
requirement,429
selection,428
wood,427
none,426
thousand,426
tool,425
draft,424
expansion,423
final,422
manufacturer,422
human,421
protection,421
ownership,421
dog,421
strategy,420
partnership,420
threat,418
sense,417
valley,417
penalty,417
collaboration,416
appointment,416
root,416
display,416
message,416
expression,415
attraction,415
prize,415
guitarist,415
shape,415
brick,414
theater,413
height,413
peace,413
invasion,412
search,412
cd,412
accident,411
choice,411
complex,411
cast,410
squadron,410
stock,410
violence,409
domain,409
nothing,409
prisoner,408
existence,408
documentary,407
secretary,406
playoff,406
weight,405
supporter,403
submarine,402
strike,401
opinion,401
poetry,401
leaf,400
recognition,399
print,399
hill,399
symbol,398
sculpture,398
variant,396
cycle,395
rise,395
item,394
fleet,394
trip,394
surgery,394
motion,394
inning,393
importance,393
personality,393
graduate,393
debate,392
garden,392
boundary,392
travel,391
classification,391
error,391
voter,390
stadium,389
programming,389
airport,389
steel,388
locomotive,388
visit,387
soundtrack,387
regiment,387
fighter,386
crisis,386
discussion,384
colony,384
criticism,384
roof,384
phone,384
column,383
justice,383
guard,382
pop,382
budget,381
carrier,381
seed,381
request,380
tank,380
latter,379
contest,378
convention,377
bond,377
demand,376
legislation,374
flow,374
tissue,374
regulation,374
bone,374
investment,374
battery,374
membership,373
present,372
plane,372
railroad,370
task,370
replacement,369
core,369
novelist,368
online,368
launch,367
pp,367
heat,366
merchant,366
controversy,366
expedition,366
physician,366
reign,365
scale,364
occupation,364
square,362
operator,362
fuel,360
residence,360
back,359
